"filename", "language", "Markdown", "PlantUML", "XML", "C#", "MS SQL", "YAML", "JSON", "PostCSS", "JavaScript", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\BlazorUI.csproj", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\App.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\FakeTerminal.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 8, 81
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Layout\MainLayout.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Layout\MainLayout.razor.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\MonacoEditor.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 10, 80
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Cache.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 7, 102
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\CreateScript.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 20, 140
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Error.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 37
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Home.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 10, 18, 297
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Monitoring.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Scripts.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 367, 6, 47, 420
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\Components\Pages\Settings.razor", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
